Club Name,Recordings,Club Identifier,Country,Activity_Score
Belfast Celtic,37,belfast-celtic,Northern Ireland,37.0
Belfast Ravens,95,belfast-ravens-football-club,Northern Ireland,95.0
Belfast Royal Academy,13,belfast-royal-academy,Northern Ireland,13.0
Belfast,12,belfast-rugby-club,Northern Ireland,12.0
Derry City,18,derry-city-fc-1809cfd7,Northern Ireland,18.0
Derrygonnelly,40,derrygonnelly-harps-8e0af6c6,Northern Ireland,40.0
Derrygonnelly harps,11,derrygonnelly-harps-0d3df33f,Northern Ireland,11.0
Derrygonnelly,29,derrygonnelly-harps-27891b48,Northern Ireland,29.0
Derrygonnelly,34,derrygonnelly-harps-aaa5af28,Northern Ireland,34.0
Derrygonnelly Harps,25,derrygonnelly-harps-e7e35f6b,Northern Ireland,25.0
Derrygonnelly Harps,12,derrygonnelly-harps-b5df4180,Northern Ireland,12.0
Derrygonnelly Harps Ladies,14,derrygonnelly-harps-f915134d,Northern Ireland,14.0
Derrylauglan Kevin Barry's,179,derrylauglan-kevin-barrys-gac,Northern Ireland,179.0
Derrylin,31,derrylin-oconnells,Northern Ireland,31.0
Derrynoose GAC,40,derrynoose-st-mochuas-gac,Northern Ireland,40.0
Donegal/Derry Vipers,71,donegal-derry-vipers,Northern Ireland,71.0
Edenderry Town FC,54,edenderry-town-fc,Northern Ireland,54.0
Edenderry Town,87,edenderry-town-football-club,Northern Ireland,87.0
