Club Name,Pitch Name,Latitude,Longitude,Province,Country,Division,County,Directions,Twitter,Elevation,Annual Rainfall,Rain Days,Uses VEO,VEO Recordings,VEO Club Identifier
Abbeydorney,,52.34873500,-9.69104600,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.348735,-9.691046",https://twitter.com/odorneygaa,9.00,1410.30,281.00,false,0,
Abbeyknockmoy Hurling,,53.43808000,-8.72746300,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.43808,-8.727463",https://twitter.com/Abbey_Hurling,56.00,1153.60,274.00,false,0,
Abbeylara,Oliver Lynch Park,53.75859400,-7.45802300,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.758594,-7.458023",,88.00,957.20,273.00,false,0,
Abbey Sarsfields,Bishop's Fields,52.68322700,-8.61613300,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.683227,-8.616133",https://twitter.com/abbeysarsfields,17.00,1166.50,263.00,false,0,
Abbeyside / Ballinacourty,,52.10352900,-7.59893800,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.103529,-7.598938",https://twitter.com/abbeycourtygaa,8.00,1395.90,257.00,false,0,
Achill GAA,Davitt Park,53.93313000,-9.91650000,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.93313,-9.9165",https://twitter.com/clgacla,6.00,1853.40,311.00,false,0,
Adare,,52.56410400,-8.80703700,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.564104,-8.807037",https://twitter.com/adaregaa,12.00,1030.80,252.00,false,0,
Adrigole,,51.68447500,-9.71232300,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.684475,-9.712323",https://twitter.com/adrigolegaa,23.00,1811.60,280.00,false,0,
Aghabog Emmets ,Páirc Emmet,54.17118000,-7.04587000,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.17118,-7.04587",https://twitter.com/aghaboggfc,148.00,932.80,256.00,false,0,
Aghabullogue,Coachford,51.90673600,-8.78697500,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.906736,-8.786975",https://twitter.com/aghabulloguegaa,60.00,1278.10,246.00,false,0,
Aghada,Páirc Liam Ui Riain,51.84775400,-8.19324400,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.847754,-8.193244",https://twitter.com/aghadagaa,6.00,1248.30,249.00,false,0,
Aghaderg-Ballyvarley GAA,Pearse Park,54.34497000,-6.32695600,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.34497,-6.326956",https://twitter.com/aghaderg_bv,90.00,931.55,282.00,false,0,
Aghamore GAA,Aghamore Pitch,53.82710000,-8.81987200,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.8271,-8.819872",https://twitter.com/AghamoreGAA,144.00,1223.80,277.00,false,0,
Aghinagh,,51.93863500,-8.90606000,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.938635,-8.90606",https://twitter.com/aghinaghgaa,175.00,1397.80,245.00,false,0,
Ahane,Mackey Park,52.69145700,-8.51619600,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.691457,-8.516196",https://twitter.com/ahanegaaclub,29.00,1166.50,263.00,false,0,
Ahascragh/Fohenagh,Ahascragh,53.39961300,-8.32490400,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.399613,-8.324904",https://twitter.com/AhasFohGAA,71.00,1051.10,268.00,false,0,
Aherlow,Lisvernane,52.41105100,-8.22570100,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.411051,-8.225701",https://twitter.com/aherlowgaa,102.00,1066.60,249.00,false,0,
"Allen Gaels GAA, Drumshanbo",Shane McGettigan Park,54.04481100,-8.03151900,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.044811,-8.031519",https://twitter.com/allengaels,84.00,1233.60,277.00,false,0,
Allenwood,,53.29000200,-6.87351100,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.290002,-6.873511",https://twitter.com/allenwood_gfc,84.00,866.90,251.00,false,0,
"All Saints GAA, Ballymena",Slemish Park,54.86743000,-6.22718900,Ulster,United Kingdom,Antrim,Antrim,"https://maps.google.com/?daddr=54.86743,-6.227189",https://twitter.com/allsaintsgac,73.00,1036.64,295.00,false,0,
An Ghaeltacht ,Gallarus,52.18150900,-10.36459300,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.181509,-10.364593",https://twitter.com/anghaeltacht,,1800.90,295.00,false,0,
Annaclone GAA,Gaelic Park,54.29496500,-6.17984700,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.294965,-6.179847",https://twitter.com/annaclonegac,100.00,1020.80,276.00,false,0,
Annacurra GAA,,52.84160700,-6.35394800,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.841607,-6.353948",https://twitter.com/annacurragaa,79.00,1095.50,246.00,false,0,
