Club Name,Number of Videos
Derrygonnelly Harps,482
Eastern Harps,261
Innyboys,253
DONAGHMORE/ASHBOURNE GAA CLUB,200
Confey,185
Derrylauglan Kevin Barry's GAC,179
Dunshaughlin & Royal Gaels GAA,176
Elite performances,169
Dublin GAA,155
Lavey,152
Davitts,134
Dungannon Thomas Clarkes GFC,127
Erin's Isle,121
Rosemount Gaa,119
Fermoy,113
Ederney St Josephs,113
Eskra Emmetts,103
Faughanvale,102
Fionntamhnach na Piarsaigh,94
Allen Gaels,94
Galbally Pearses,94
Drumragh Sarsfields GAC,89
Cumann Peile Mhaigh Cuilinn,85
Daingean Gaa,82
Drumbaragh Emmets GFC,81
JohnstownBridge GFC,80
Garristown,78
Cooley Kickhams,76
Connacht GAA Center of Excellence,74
Firies Gaa,73
Dromcollogher/Broadford GAA,73
Glen Emmets GFC,73
Donaghmoyne GFC,70
Galway Hurling,70
Cordal GAA Club,68
Gaelic Athletic Academy,66
Adrigole,65
Glenville,65
Dún Beag GAA,63
Dromore St. Dympna's GFC,63
Dundalk Young Irelanders GFC,63
Glencar Manor,63
Colmcille GFC,62
Fr.Caseys GAA Club,61
Gowna,60
Erne Gaels,57
Emyvale,57
Greencastle,56
Greenlough GAC,56
Eastern Gaels,56
Aghada,55
Glasgow Gaels,55
Islandeady GAA,54
Coolera Strandhill GAA,54
Hollymount Carramore Gaa,53
Gaeil Colmcille,53
Cobh GAA,53
Aghyaran,52
Four Masters,52
Na Fianna,49
Allenwood,49
Gneeveguilla GAA,49
Dromore Ladies GFC,48
Drumcliffe/Rosses Point GAA,47
Drumquin GFC,47
Currow GAA,47
Coláiste Bhaile Chláir,47
Devenish St Mary's GAA,46
Ellistown GAA,46
Cross Rangers,42
Enniskillen Gaels,41
Derrynoose St. Mochuas GAC,40
Dunmore MacHales GFC,39
Hertfordshire,39
Glenariffe,38
Duleek Bellewstown GFC,37
Dublin Camogie,36
Gleann Éallaigh,36
Annaclone GAC,35
GlynnBarntown,35
Gweedore Celtic,34
Coláiste Mhuire Secondary School Mullingar,34
Graiguecullen,32
Cargin,32
Aghabog,32
Derrylin O'Connells,31
Glenamaddy GAA,31
High Moss Sarsfields GFC,30
Adamstown,28
GAA,28
Dreadnots GFC,27
Duagh GAA,27
Dungourney GAA,27
Cortown GAA,26
Eoghan Rua CLG Coleraine,25
Cullen GAA,25
Bantry Blues,23
Hunterstown Rovers GAA,23
Aghabullogue GAA,23
Hollywood Wicklow GAA,22
Clyda Rovers GAA Club,22
Erins Own,21
Glenamaddy GAA 2,21
Darragh Cross,20
Aghadrumsee GAC,20
Galway GAA,20
Coolaney/Mullinabreena,20
Dromin Athlacca GAA,19
Fuerty GAA Club,18
Doohamlet O'Neills GFC,16
Curry GAA,16
Emyvale Gaa Club,16
Granemore,15
Henry Joy McCracken's Moneymore,15
Glanworth GAA,15
Glinsk GAA,15
Good Counsel Liffey Gaels,14
Derrygonnelly Harps Ladies,14
Crossmolina Deel Rovers GAA,13
JHSD,13
Drumgath GAC,12
Scotland GAA Men,12
Greystones,11
hurling team in cork,11
Dunsany GAA Club,11
Eire Og Greystones,11
Calry,11
Cortoon Shamrocks,10
Milltown-Castlemaine,261
St Judes,224
Austin Stacks GAA,192
Castlebar Mitchels GAA,191
Ballyhooly G.A.A,189
Killucan GAA,174
Atlético Kingston VEO3,165
Loughmacrory Gfc,161
Castlehaven GAA,161
Ballyfermot Gaels GAA,158
St. Kevin's,156
Meath GAA,148
Claregalway GAA,134
Bective GFC,134
Claremorris GAA,127
Clones GFC,123
Ballymac GAA,122
Kilmeena GAA Club,121
Balla GAA,120
Ballinascreen,116
Cloyne GAA,113
Monivea Abbey GFC,112
Bredagh GAC,110
Cappagh GAA Club,108
Mayo Gaels GAA club,106
Meath Hill,105
Blackhall Gaels,98
Mayo GAA,98
Kilkenny Camogie,97
The Emmets,96
Desmonds,96
Atlético Kingston VEO2,96
Boherbue GAA,94
Clann NaGael,93
Knockmore,90
Athgarvan GAA,89
Bishopstown GAA,88
Brosna G.A.A.,87
Ardagh,87
Naomh Columba,84
Mullaghbawn,80
Moortown St Malachys,79
Carnaross mens adult,77
Augher GFC,75
Bearna GAA,74
Ballyholland,73
Monaleen GAA Club,67
Clonakilty Gaa,66
The Blues,64
Magheracloone,64
Moneyglass GAC,64
Bray Emmets,62
Middletown GAA Club,61
Killinkere GFC,61
Kiltubrid,60
Moynalty GFC,59
Cuchulainns,58
Belnaleck GAC,58
