Club Name,Number of Videos,County,Province,Country,Latitude,Longitude,Matched
Derrygonnelly Harps,482,Fermanagh,Ulster,United Kingdom,54.42193800,-7.82769600,Yes
Eastern Harps,261,Sligo,Connacht,Ireland,54.04398100,-8.44655000,Yes
Innyboys,253,,,Ireland,,,No
DONAGHMORE/ASHBOURNE GAA CLUB,200,Meath,Leinster,Ireland,53.50943000,-6.41049400,Yes
Confey,185,Kildare,Leinster,Ireland,53.37455100,-6.48188800,Yes
Derrylauglan Kevin Barry's GAC,179,,,Ireland,,,No
Dunshaughlin & Royal Gaels GAA,176,,,Ireland,,,No
Elite performances,169,,,Ireland,,,No
Dublin GAA,155,,,Ireland,,,No
Lavey,152,,,Ireland,,,No
Davitts,134,Mayo,Connacht,Ireland,53.67240000,-8.95848000,Yes
Dungannon Thomas Clarkes GFC,127,,,Ireland,,,No
Erin's Isle,121,Dublin,Leinster,Ireland,53.38427200,-6.29786800,Yes
Rosemount Gaa,119,Westmeath,Leinster,Ireland,53.42747700,-7.64205200,Yes
Fermoy,113,Cork,Munster,Ireland,52.14396900,-8.27429200,Yes
Ederney St Josephs,113,Wexford,Leinster,Ireland,52.32013800,-6.47303400,Fuzzy
Eskra Emmetts,103,,,Ireland,,,No
Faughanvale,102,,,Ireland,,,No
Fionntamhnach na Piarsaigh,94,Limerick,Munster,Ireland,52.66982600,-8.67014000,Fuzzy
Allen Gaels,94,Leitrim,Connacht,Ireland,54.04481100,-8.03151900,Fuzzy
Galbally Pearses,94,,,Ireland,,,No
Drumragh Sarsfields GAC,89,,,Ireland,,,No
Cumann Peile Mhaigh Cuilinn,85,,,Ireland,,,No
Daingean Gaa,82,Offaly,Leinster,Ireland,53.30202400,-7.29189400,Yes
Drumbaragh Emmets GFC,81,,,Ireland,,,No
JohnstownBridge GFC,80,,,Ireland,,,No
Garristown,78,Dublin,Leinster,Ireland,53.56630200,-6.37707400,Yes
Cooley Kickhams,76,Louth,Leinster,Ireland,54.01004700,-6.16927300,Yes
Connacht GAA Center of Excellence,74,,,Ireland,,,No
Firies Gaa,73,Kerry,Munster,Ireland,52.17321300,-9.54703200,Yes
Dromcollogher/Broadford GAA,73,Limerick,Munster,Ireland,52.34403700,-8.91700800,Yes
Glen Emmets GFC,73,,,Ireland,,,No
Donaghmoyne GFC,70,,,Ireland,,,No
Galway Hurling,70,,,Ireland,,,No
Cordal GAA Club,68,Kerry,Munster,Ireland,52.22178700,-9.38227300,Yes
Gaelic Athletic Academy,66,,,Ireland,,,No
Adrigole,65,Cork,Munster,Ireland,51.68447500,-9.71232300,Yes
Glenville,65,Cork,Munster,Ireland,52.04910000,-8.42373500,Yes
Dún Beag GAA,63,,,Ireland,,,No
Dromore St. Dympna's GFC,63,,,Ireland,,,No
Dundalk Young Irelanders GFC,63,,,Ireland,,,No
Glencar Manor,63,,,Ireland,,,No
Colmcille GFC,62,,,Ireland,,,No
Fr.Caseys GAA Club,61,,,Ireland,,,No
Gowna,60,Cavan,Ulster,Ireland,53.86601000,-7.55006700,Yes
Erne Gaels,57,,,Ireland,,,No
Emyvale,57,Monaghan,Ulster,Ireland,54.33111000,-6.94787700,Yes
Greencastle,56,,,Ireland,,,No
Greenlough GAC,56,,,Ireland,,,No
Eastern Gaels,56,Mayo,Connacht,Ireland,53.72397800,-8.87638800,Yes
Aghada,55,Cork,Munster,Ireland,51.84775400,-8.19324400,Yes
Glasgow Gaels,55,,,Ireland,,,No
Islandeady GAA,54,Mayo,Connacht,Ireland,53.82640800,-9.40437900,Yes
Coolera Strandhill GAA,54,Sligo,Connacht,Ireland,54.24474000,-8.54230000,Yes
Hollymount Carramore Gaa,53,Mayo,Connacht,Ireland,53.68630000,-9.08460000,Yes
Gaeil Colmcille,53,Meath,Leinster,Ireland,53.71987000,-6.88017400,Yes
Cobh GAA,53,Cork,Munster,Ireland,51.85638500,-8.28533800,Yes
Aghyaran,52,,,Ireland,,,No
Four Masters,52,Donegal,Ulster,Ireland,54.65542200,-8.12258100,Yes
Na Fianna,49,Dublin,Leinster,Ireland,53.37476900,-6.26431900,Yes
Allenwood,49,Kildare,Leinster,Ireland,53.29000200,-6.87351100,Yes
Gneeveguilla GAA,49,Kerry,Munster,Ireland,52.11971900,-9.27189300,Yes
Dromore Ladies GFC,48,,,Ireland,,,No
Drumcliffe/Rosses Point GAA,47,Sligo,Connacht,Ireland,54.33990000,-8.51937000,Yes
Drumquin GFC,47,,,Ireland,,,No
Currow GAA,47,Kerry,Munster,Ireland,52.18001600,-9.50772700,Yes
Coláiste Bhaile Chláir,47,,,Ireland,,,No
Devenish St Mary's GAA,46,Cork,Munster,Ireland,51.73542000,-8.93735900,Fuzzy
Ellistown GAA,46,Kildare,Leinster,Ireland,53.18479200,-6.98475800,Yes
Cross Rangers,42,,,Ireland,,,No
Enniskillen Gaels,41,Fermanagh,Ulster,United Kingdom,54.35102200,-7.63484300,Yes
