Club Name,Recordings,Club Identifier
_,98,sb-bulldogs
River Plate,255,league-college
-,27,qviding-fif-3
-,119,eryn-warren
-,200,saint-convals
-,33,lee-43
---,974,lfj-partners-sport-development
---,11,girls-soccer-veo
------------,72,my-clubhouse-7895a3bd
.,138,wallsend-rfc
.,199,east-side-high-school
.,465,radb-solutions
SYC 2010 MLS-NEXT,353,syc-blue
.,31,us-joigny
.,57,vedby-ronne-if
.,13,1-1e9aaa15
..,79,evolution-soccer-club
...,132,sigma-fc-5bd903fc
*,200,san-ramon-fc-2010b-pre-npl
*,96,lindblom-eagles
⚽,333,veo-colorado-football
—-,83,sv-grodig
⚽⚽⚽,182,soccer-stars-academy
サルパ,545,sgrum005
テスト,341,2-6f6816eb
예일고,194,1-19172516
함창중,187,1-b280122f
염기훈 주니어,67,1-f3e891e2
용운중.자연과학고,150,1-5de2983c
キンパチ,226,1-d502c72f
リガール,131,1-160
김해그릿,124,1-cee089841
한양공고,101,1-e149f381
풋볼아이 풋살파크,1091,1-a6aa1cac
ペルージャ,34,veo-330
경신중학교,49,1-78ce658d
경주정보고,54,1-46b5b59bl
경희중학교,82,1-6dbd6b2a0
구산중학교,17,fc-u180
목동중학교,39,1-c9a45c4e
설봉중학교,34,1-ef03d1c78
신장중학교,75,ssf-96a752d1
영남대학교영남대학교,103,1-6d202849
오현중학교,55,1-6ccbf4490
위덕대학교,20,1-726d9d28
일동중학교,329,1-b79bb15c
제주제일고,111,1-47b4f818
천안제일고,89,1-e349c4b1j
포항여전고,286,1-b0395608
エストレーラFC境,290,fc-fe9729c9
サルバドール,79,1-0aaa2b43
ジャグランカ,290,1-82
テストチーム,25,veo1
㈱エフスリー,1184,1-224
서귀포중학교,47,fdsksg9342
우리풋살파크,619,1-e3846960
판교축구클럽,93,1-e923bdef
キングスユース,41,1-df613b06
ノールチシティ,33,1-dbc4fc50
수원비비글로벌,207,1-27a12a7f
의정부축구센터,132,1-74942038
제주중앙중학교,21,1-8750892a
부산정보고등학교,100,1-6b42bcfa
Ｎｕｍｂｅｒ３３,2588,number33
Ｓ４スペランツァ,135,s4
フウガドールすみだ,677,1-57631e96
ブラックジャガーズ,17,1-f74e71a8
ユナイテッドパーク,13,1-0bb55506
クーバー・コーチング,353,1-e25db534
ロッソサッカークラブ,121,1-d1358d7b
トライルサッカークラブ,16,1-d82f904e
スポーツクラブエストレラ,318,1-159
アミーゴフットボールクラブ,846,1-275
JFC,87,1-61b2b380
トリプレッタサッカークラブ,194,1-287
フボルフッチボールクルーベ,45,1-3009e-16c
オリエントフットボールクラブ,35,1-1ecc901c
ドルフィンフットボールクラブ,118,1-a5b9d6ae
フットボールライフミュートス,54,1-7a1da5b2
シルフィードフットボールクラブ,11,vrj-358
ハジャスフットボールアカデミー,150,1-251
クーバー・コーチング・サッカースクール,324,1-43
サンフレッチェくにびきフットボールクラブ,115,1-a4213940
特定非営利活動法人エストレーラフットボールクラブ,78,1-f82da2d0
001_SFレンタル_大成高校,170,02sportsfanz
004_SFレンタル_未貸出,38,04sportsfanz
005_SFレンタル_FC ZEAL,29,05sportsfanz
006_SFレンタル_八戸学院光星高校,1190,soccerfanz01
008_SFレンタル_野辺地西サッカー部,284,1-af13479e
009_SFレンタル_Kokushikan High School Soccer Club,424,kokushikan-high-school-soccer-club
011_SFレンタル_松本国際高等学校,173,1-f218f72b
026 FC,116,026-futbol-club
02. FAČR - Vzdělávání Tr.,38,facr-beach-soccer
02. 特定非営利活動法人カルペソール湘南スポーツクラブ,279,02
03. FAČR-Beach soccer,18,facr-department-of-education
Concorde Fire South,115,columbus-futbol-club-red-star
0498559953,68,0498559953
Cross City SC,134,fc-premier
FC Dallas,11,05b-rl-ntx-u18u19-blue-che
0690211331,30,0690211331
Aidan Aguilera #17,49,texas-lightning-soccer-club-32014f93
06 Girls,77,06-girls-black-team-blue-team
07 National,44,07-ecnl-national-team
07 FWSC Impact,37,07-fwsc-impact
07 Vestur,107,07-vestur
08,124,vail-soccer-club-dc523741
08 / 11 Teams,183,08-11-teams
0829 Friedrichseld Team,12,kosmotec
AHFC,46,newcastle-elite-academy
08G DPL,18,08g-dpl
Personal,42,personal-6934911a
PGSA Stars,56,08-pgsa-stars-g
08 Rapids - Elite,20,colorado-rapids-youth-soccer-club-21
09,11,09-ee26aaf8
PPNS,57,09-boys
09 Girls,220,sd-force-fc
09 Gunners,23,09-gunners
0. TORNEOMANIA EYEBALL,637,torneoderibeira
0. TORNEOMANIA Torneos,29,gs360-play
101 Lacrosse,70,101-lacrosse
10 Girls E64RL Surprise,15,ccv-02d41b49
10u Cape,10,10u-cape
117FC Academy Veo Cam live,26,117fc-academy
11analytiks,17,11analytiks
11 Analytiks,22,11-analytiks
11G,35,11g
11 PTFC Triad Premier,74,11-ptfc-triad-premier
11u Va Jags,46,jenkins
12,34,teesside-rtc-u15
FV 1210 Wien,23,fv-1210-wien
+1 248-255-1289,13,1-248-255-1289
Palm Beach Breakers,43,coral-springs-makos
12G Red U13,29,ufa-12-g
12U CSA CLT Roma Elite 2,86,parkwood
12U Jr. Grizz Select I,53,12u-jr-grizz-select-i
+1 345-938-5108,36,1-345-938-5108
FC Dallas,85,dksc-2013-camargo
San Carlos United,59,13g-san-carlos-united
13Sports,17,13sports
13U HRML 2024,12,highlands-ranch-mountain-lions-football
Jr Sharks,80,jr-sharks
+1 414-828-6375,48,1-414-828-6375
14G/09B,74,ra-soccer
14U - A - PCIM,33,jim-krejci
15-1,48,pvcv-vleuten-2
Coach Peet,64,1-514-834-1533
+1 619-627-3578,17,1-619-627-3578
+1 630-532-8396,48,630-532-8396
16424,13,1-f1a84689
16B Academy 1,15,folsom-lake-surf-367ec84d
16's Ella Wilson,16,16s-ella-wilson
16’s Emily Bloomer,12,16s-emily-bloomer
16’s Frankie Hackett,13,16s-frankie-hackett
16’s Katy Watson,11,16s-katy-watson
16’s Mya Forgie,10,16s-mya-forgie
16’s Mya Forgie,14,16s-mya-forgie-2
16s poppy pritchard,11,16s-poppy-pritchard
16's Rhiannon Mallaburn,14,16s-rhiannon-mallaburn
+1 720-285-9953,17,1-720-285-9953
+1 732-330-2357,19,1-732-330-2357
1776,77,nether-united-1776
2006 Girls Showcase,56,2006-girls-showcase
180 Soccer,287,180-soccer
18/1 BTH Raiders,29,161-bth-raiders-dev
1874,35,hartford-fc
+1 928-451-1654,41,1-928-451-1654
NFC,35,1974-newark-club
1974 Newark FC,57,1974-newark-fc-81e4fae4
1974 Newark FC,54,1974-newark-fc-f7be8282
NEWARK FC,2026,newark-soccer-club
1974 NFC,24,1974-newark-football-club-58f35318
1974NFC,47,1974nfc
1976,34,1976
1a KFS Olomouckého kraje,43,kfs-olomouckeho-kraje
1.American Football Department,49,1fc-bayreuth-von-1910-ev
1.BFK Frýdlant n.O. - FAČR,11,1bfk-frydlant-no
1.CfR Pforzheim 1896 e.V.,63,fc-germania-singen
1 click tj,260,1click-tj-tijuas
1 - Columbia High School Soccer - Boys,102,columbia-high-school-soccer-boys-f60ff2e3
1°Dezembro Futebol SAD,247,1dezembro-futebol-sad
vv Buitenpost,52,vv-buitenpost
FC06,145,1-fc-06-bad-kissingen-ev
FC Erlensee,81,1-fc-1906-erlensee
Erlensee,13,1-fc-1906-erlensee-fabccc79
1.FC 06 Erlensee,181,1fc-1906-erlensee-ev
Bi-Wo,105,1-fc-bitterfeld-wolfen-ev
1. FC Bocholt,25,1-fc-bocholt-6b340ba1
1.FC Celle,14,1fc-celle
